[Load] WikiText-2 ...
[Load] Raw lines: 44,836 in 11.76s
[Corpus] sentences=28,369, tokens=1,094,036, |V|=27,091
[Train] GloVe config: {
  "vector_size": 300,
  "window": 10,
  "min_count": 2,
  "epochs": 15,
  "x_max": 100.0,
  "alpha": 0.75,
  "lr": 0.05,
  "seed": 4213
}
[GloVe] Vocab size after min_count=2: 27,091
[GloVe] Co-occurrence entries: 10,390,591
[GloVe][epoch 1] step=100,000/10,390,591  avg_loss≈0.0287
[GloVe][epoch 1] step=200,000/10,390,591  avg_loss≈0.0280
[GloVe][epoch 1] step=300,000/10,390,591  avg_loss≈0.0278
[GloVe][epoch 1] step=400,000/10,390,591  avg_loss≈0.0270
[GloVe][epoch 1] step=500,000/10,390,591  avg_loss≈0.0275
[GloVe][epoch 1] step=600,000/10,390,591  avg_loss≈0.0276
[GloVe][epoch 1] step=700,000/10,390,591  avg_loss≈0.0259
[GloVe][epoch 1] step=800,000/10,390,591  avg_loss≈0.0253
[GloVe][epoch 1] step=900,000/10,390,591  avg_loss≈0.0271
[GloVe][epoch 1] step=1,000,000/10,390,591  avg_loss≈0.0267
[GloVe][epoch 1] step=1,100,000/10,390,591  avg_loss≈0.0259
[GloVe][epoch 1] step=1,200,000/10,390,591  avg_loss≈0.0259
[GloVe][epoch 1] step=1,300,000/10,390,591  avg_loss≈0.0257
[GloVe][epoch 1] step=1,400,000/10,390,591  avg_loss≈0.0253
[GloVe][epoch 1] step=1,500,000/10,390,591  avg_loss≈0.0265
[GloVe][epoch 1] step=1,600,000/10,390,591  avg_loss≈0.0268
[GloVe][epoch 1] step=1,700,000/10,390,591  avg_loss≈0.0255
[GloVe][epoch 1] step=1,800,000/10,390,591  avg_loss≈0.0249
[GloVe][epoch 1] step=1,900,000/10,390,591  avg_loss≈0.0245
[GloVe][epoch 1] step=2,000,000/10,390,591  avg_loss≈0.0248
[GloVe][epoch 1] step=2,100,000/10,390,591  avg_loss≈0.0256
[GloVe][epoch 1] step=2,200,000/10,390,591  avg_loss≈0.0249
[GloVe][epoch 1] step=2,300,000/10,390,591  avg_loss≈0.0251
[GloVe][epoch 1] step=2,400,000/10,390,591  avg_loss≈0.0255
[GloVe][epoch 1] step=2,500,000/10,390,591  avg_loss≈0.0250
[GloVe][epoch 1] step=2,600,000/10,390,591  avg_loss≈0.0247
[GloVe][epoch 1] step=2,700,000/10,390,591  avg_loss≈0.0256
[GloVe][epoch 1] step=2,800,000/10,390,591  avg_loss≈0.0244
[GloVe][epoch 1] step=2,900,000/10,390,591  avg_loss≈0.0241
[GloVe][epoch 1] step=3,000,000/10,390,591  avg_loss≈0.0243
[GloVe][epoch 1] step=3,100,000/10,390,591  avg_loss≈0.0239
[GloVe][epoch 1] step=3,200,000/10,390,591  avg_loss≈0.0247
[GloVe][epoch 1] step=3,300,000/10,390,591  avg_loss≈0.0245
[GloVe][epoch 1] step=3,400,000/10,390,591  avg_loss≈0.0241
[GloVe][epoch 1] step=3,500,000/10,390,591  avg_loss≈0.0241
[GloVe][epoch 1] step=3,600,000/10,390,591  avg_loss≈0.0235
[GloVe][epoch 1] step=3,700,000/10,390,591  avg_loss≈0.0239
[GloVe][epoch 1] step=3,800,000/10,390,591  avg_loss≈0.0254
[GloVe][epoch 1] step=3,900,000/10,390,591  avg_loss≈0.0243
[GloVe][epoch 1] step=4,000,000/10,390,591  avg_loss≈0.0243
[GloVe][epoch 1] step=4,100,000/10,390,591  avg_loss≈0.0234
[GloVe][epoch 1] step=4,200,000/10,390,591  avg_loss≈0.0248
[GloVe][epoch 1] step=4,300,000/10,390,591  avg_loss≈0.0239
[GloVe][epoch 1] step=4,400,000/10,390,591  avg_loss≈0.0239
[GloVe][epoch 1] step=4,500,000/10,390,591  avg_loss≈0.0237
[GloVe][epoch 1] step=4,600,000/10,390,591  avg_loss≈0.0233
[GloVe][epoch 1] step=4,700,000/10,390,591  avg_loss≈0.0238
[GloVe][epoch 1] step=4,800,000/10,390,591  avg_loss≈0.0243
[GloVe][epoch 1] step=4,900,000/10,390,591  avg_loss≈0.0243
[GloVe][epoch 1] step=5,000,000/10,390,591  avg_loss≈0.0244
[GloVe][epoch 1] step=5,100,000/10,390,591  avg_loss≈0.0242
[GloVe][epoch 1] step=5,200,000/10,390,591  avg_loss≈0.0225
[GloVe][epoch 1] step=5,300,000/10,390,591  avg_loss≈0.0228
[GloVe][epoch 1] step=5,400,000/10,390,591  avg_loss≈0.0235
[GloVe][epoch 1] step=5,500,000/10,390,591  avg_loss≈0.0236
[GloVe][epoch 1] step=5,600,000/10,390,591  avg_loss≈0.0234
[GloVe][epoch 1] step=5,700,000/10,390,591  avg_loss≈0.0235
[GloVe][epoch 1] step=5,800,000/10,390,591  avg_loss≈0.0242
[GloVe][epoch 1] step=5,900,000/10,390,591  avg_loss≈0.0233
[GloVe][epoch 1] step=6,000,000/10,390,591  avg_loss≈0.0238
[GloVe][epoch 1] step=6,100,000/10,390,591  avg_loss≈0.0230
[GloVe][epoch 1] step=6,200,000/10,390,591  avg_loss≈0.0236
[GloVe][epoch 1] step=6,300,000/10,390,591  avg_loss≈0.0233
[GloVe][epoch 1] step=6,400,000/10,390,591  avg_loss≈0.0233
[GloVe][epoch 1] step=6,500,000/10,390,591  avg_loss≈0.0233
[GloVe][epoch 1] step=6,600,000/10,390,591  avg_loss≈0.0226
[GloVe][epoch 1] step=6,700,000/10,390,591  avg_loss≈0.0232
[GloVe][epoch 1] step=6,800,000/10,390,591  avg_loss≈0.0235
[GloVe][epoch 1] step=6,900,000/10,390,591  avg_loss≈0.0228
[GloVe][epoch 1] step=7,000,000/10,390,591  avg_loss≈0.0240
[GloVe][epoch 1] step=7,100,000/10,390,591  avg_loss≈0.0235
[GloVe][epoch 1] step=7,200,000/10,390,591  avg_loss≈0.0223
[GloVe][epoch 1] step=7,300,000/10,390,591  avg_loss≈0.0228
[GloVe][epoch 1] step=7,400,000/10,390,591  avg_loss≈0.0232
[GloVe][epoch 1] step=7,500,000/10,390,591  avg_loss≈0.0226
[GloVe][epoch 1] step=7,600,000/10,390,591  avg_loss≈0.0227
[GloVe][epoch 1] step=7,700,000/10,390,591  avg_loss≈0.0227
[GloVe][epoch 1] step=7,800,000/10,390,591  avg_loss≈0.0238
[GloVe][epoch 1] step=7,900,000/10,390,591  avg_loss≈0.0235
[GloVe][epoch 1] step=8,000,000/10,390,591  avg_loss≈0.0234
[GloVe][epoch 1] step=8,100,000/10,390,591  avg_loss≈0.0231
[GloVe][epoch 1] step=8,200,000/10,390,591  avg_loss≈0.0233
[GloVe][epoch 1] step=8,300,000/10,390,591  avg_loss≈0.0236
[GloVe][epoch 1] step=8,400,000/10,390,591  avg_loss≈0.0238
[GloVe][epoch 1] step=8,500,000/10,390,591  avg_loss≈0.0225
[GloVe][epoch 1] step=8,600,000/10,390,591  avg_loss≈0.0230
[GloVe][epoch 1] step=8,700,000/10,390,591  avg_loss≈0.0224
[GloVe][epoch 1] step=8,800,000/10,390,591  avg_loss≈0.0231
[GloVe][epoch 1] step=8,900,000/10,390,591  avg_loss≈0.0221
[GloVe][epoch 1] step=9,000,000/10,390,591  avg_loss≈0.0227
[GloVe][epoch 1] step=9,100,000/10,390,591  avg_loss≈0.0231
