,rank,alpha,accuracy,f1,precision,recall
r4_alpha16,4,16,0.7564766839378239,0.7205354888496128,0.7197663374593639,0.7564766839378239
r4_alpha32,4,32,0.7927461139896373,0.7710892977222892,0.7749022816107627,0.7927461139896373
r4_alpha64,4,64,0.7979274611398963,0.7892709731648871,0.7906411917098446,0.7979274611398963
r8_alpha16,8,16,0.7409326424870466,0.7133600306206839,0.7083324412281077,0.7409326424870466
r8_alpha32,8,32,0.7979274611398963,0.7691042744380141,0.7776859033571234,0.7979274611398963
r8_alpha64,8,64,0.8031088082901554,0.7887144648363582,0.8008072902113256,0.8031088082901554
r16_alpha16,16,16,0.7616580310880829,0.7417564243095778,0.739293927651136,0.7616580310880829
r16_alpha32,16,32,0.8082901554404145,0.7950967521420638,0.7949973031036042,0.8082901554404145
r16_alpha64,16,64,0.7927461139896373,0.7813176934182025,0.7773777114253095,0.7927461139896373
r32_alpha16,32,16,0.7564766839378239,0.7254729727851894,0.7318682252089201,0.7564766839378239
r32_alpha32,32,32,0.7823834196891192,0.766197742486493,0.7642320764631153,0.7823834196891192
r32_alpha64,32,64,0.7772020725388601,0.7338950825785658,0.7172253886010362,0.7772020725388601
